target,browser,player,codec,platform,user,data_points,mean,stdev,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10
browser,*,*,*,*,*,10800,99.49537037037037,0.11235797314362438,99.53703703703704,99.35185185185185,99.67592592592592,99.39814814814815,99.39814814814815,99.67592592592592,99.44444444444444,99.58333333333333,99.49074074074075,99.39814814814815
user,*,*,*,*,*,10800,99.70833333333334,0.10153570462713368,99.67592592592592,99.62962962962963,99.67592592592592,99.72222222222223,99.76851851851852,99.67592592592592,99.72222222222223,99.72222222222223,99.53703703703704,99.9537037037037
codec,*,MPLAYER,*,Windows10,*,1200,40.45833333333333,2.5580075796951376,43.333333333333336,38.75,38.75,40.416666666666664,40.416666666666664,45.83333333333333,39.58333333333333,37.5,37.5,42.5
codec,*,MPV,*,Windows10,*,1200,44.20833333333333,3.705523279886092,47.083333333333336,46.666666666666664,49.583333333333336,44.166666666666664,43.333333333333336,39.58333333333333,41.25,37.083333333333336,46.25,47.083333333333336
codec,*,VLC,*,Windows10,*,1200,54.41666666666667,2.9415604324537994,54.58333333333333,50.83333333333333,55.833333333333336,58.75,54.58333333333333,55.00000000000001,53.333333333333336,53.75,48.75,58.75
codec,*,MPLAYER,*,Linux,*,1200,42.41666666666667,2.8613807855649,37.5,42.916666666666664,45.0,42.083333333333336,48.333333333333336,42.5,41.25,42.5,38.75,43.333333333333336
codec,*,MPV,*,Linux,*,1200,41.20833333333333,2.0703763748008073,42.5,37.5,39.166666666666664,40.0,41.25,42.5,44.166666666666664,39.58333333333333,41.25,44.166666666666664
codec,*,VLC,*,Linux,*,1200,63.625,2.3793819225448707,66.66666666666666,60.0,65.83333333333333,63.33333333333333,64.58333333333334,65.83333333333333,59.583333333333336,61.66666666666667,63.33333333333333,65.41666666666667
codec,*,MPLAYER,*,macOS,*,1200,43.79166666666667,2.3603348397114234,42.5,40.833333333333336,46.25,41.66666666666667,45.83333333333333,42.083333333333336,41.25,45.83333333333333,47.91666666666667,43.75
codec,*,MPV,*,macOS,*,1200,42.33333333333333,3.040239391159117,43.75,39.166666666666664,36.25,42.916666666666664,43.333333333333336,40.416666666666664,47.5,45.416666666666664,41.25,43.333333333333336
codec,*,VLC,*,macOS,*,1200,55.791666666666664,2.735123905379384,55.833333333333336,60.83333333333333,57.08333333333333,53.333333333333336,51.24999999999999,52.5,57.49999999999999,58.333333333333336,56.25,55.00000000000001
player,*,*,sample.3gp,Windows10,*,900,67.38888888888889,2.971573137848074,68.33333333333333,72.77777777777777,67.22222222222223,63.33333333333333,71.66666666666667,67.77777777777779,66.11111111111111,64.44444444444444,68.33333333333333,63.888888888888886
player,*,*,sample.flv,Windows10,*,900,76.27777777777779,3.50528701207719,73.33333333333333,75.0,71.11111111111111,75.55555555555556,73.33333333333333,77.77777777777779,82.22222222222221,79.44444444444444,73.88888888888889,81.11111111111111
player,*,*,sample.mkv,Windows10,*,900,65.27777777777777,2.4751854899939407,66.66666666666666,65.55555555555556,68.33333333333333,66.66666666666666,67.22222222222223,67.77777777777779,63.888888888888886,64.44444444444444,61.66666666666667,60.55555555555555
player,*,*,sample.mp4,Windows10,*,900,69.94444444444444,3.0877096070200545,65.55555555555556,69.44444444444444,67.77777777777779,68.88888888888889,72.22222222222221,72.77777777777777,72.77777777777777,75.55555555555556,68.33333333333333,66.11111111111111
player,*,*,sample.3gp,Linux,*,900,85.94444444444446,1.685998989499279,84.44444444444444,85.0,87.22222222222223,86.11111111111111,83.33333333333334,85.55555555555556,86.11111111111111,85.55555555555556,86.11111111111111,90.0
player,*,*,sample.flv,Linux,*,900,90.27777777777779,1.4958791130929179,87.22222222222223,91.11111111111111,91.66666666666666,89.44444444444444,92.22222222222223,88.88888888888889,90.0,90.0,90.0,92.22222222222223
player,*,*,sample.mkv,Linux,*,900,90.27777777777779,1.366485986249874,91.11111111111111,91.66666666666666,87.77777777777777,91.11111111111111,90.0,91.11111111111111,90.0,92.22222222222223,88.33333333333333,89.44444444444444
player,*,*,sample.mp4,Linux,*,900,85.27777777777779,2.2532555322970254,85.55555555555556,88.88888888888889,81.66666666666667,86.66666666666667,83.33333333333334,86.66666666666667,86.11111111111111,83.33333333333334,82.77777777777777,87.77777777777777
